w2,w2,w2,w2,w2,w2,w2,w2,w2,w8,,,,,,,,,,w8,w8,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w14,w14,w14,w14,w14,,,,,,,,,,,w22,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,w6,,,,,,,,,,,,,,w26,,,,,,,,,,,,,,,w25,w1,w1,w1,w1,w1,w1,w1,w1
,,,,,,,,,,,,,,,,,,,w8,w8,,,,,,,,w7,w7,w7,w7,w7,w7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,w8,w8,,,,,,,,,,,,,w7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,w8,w8,,,,,,,,,,,,,w7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,,,,,,,,,,
w4,w4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w15,w15,w15,w15,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,,,,,,w3,w3,w3,w3,w3
w4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w15,w15,w15,w15,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,,,,,,w3,,,,
w4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w15,w15,w15,w15,w15,,,,,,,,,,,,,,,,,,w23,,,,,,,,,,,,,,,,,,,w3,,,,
w4,,,,,,,,,w17,w17,w17,w17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w15,w15,w15,w15,w15,,,,,,,,,,,,,,,,,,w23,,,,,,w23,w23,w23,w23,,,,,,,,,,w3,,,,
w4,,,,,,,,,w17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w16,,,,,,,,,,,,w15,w15,w15,w15,w15,w15,w15,,,,,,,,,,,,,,,,,,w23,,,,,,w23,,,w23,,,,,,,,,,w3,,,,
